Domaine,Temps_Lecture,Scrolls,Clics,Progression,Note_Quiz
Sciences,31.05553794440404,21,27,0.05959885891314953,13.931972819548013
Sciences,23.060947635171082,8,83,0.20789518545330854,9.07490267297666
Sciences,30.301865126638425,29,38,0.08347563615493059,12.78022560803901
Littérature,32.7193149049969,11,43,0.3253299110528839,16.67168377355385
Littérature,58.81366983695591,11,80,0.6828123502724097,20.0
Histoire,57.212991005141866,18,18,0.8556561869111755,20.0
Sciences,16.986507576988306,13,16,0.5869715966571004,13.667488676120566
Sciences,54.12929868661232,34,1,0.5537353945780551,20.0
Littérature,14.010333116503928,31,97,0.5111310480466581,10.4578988598611
Langues,35.381773485887706,47,87,0.6557300483444526,13.00530427213782
Sciences,18.19549500548827,22,36,0.24008336578181833,11.301682843758488
Littérature,28.2946072678467,15,15,0.5102419333164762,17.474193955699242
Histoire,47.16701128243323,39,33,0.7315334784615056,19.241628285344728
Histoire,31.225273967842494,2,33,0.4519423310524868,16.56326581321389
Langues,50.34756437856669,4,78,0.6214972384433051,18.35072490131792
Sciences,45.94078555187709,39,59,0.9423753855328834,16.75427593177418
Littérature,57.14197231055081,32,22,0.02211583151556762,20.0
Littérature,36.70780102929386,28,23,0.5655257698122168,19.382903837832433
Langues,50.107397699389765,23,11,0.48109331450092374,20.0
Littérature,26.145355316852594,17,22,0.9615808806591297,18.149005572127155
Littérature,27.28729225449323,42,84,0.32163669727065314,13.596855329600253
Langues,30.02552317907527,15,2,0.9762282893503833,19.213809728187133
Histoire,30.54578671490445,34,42,0.9939219693978356,16.21103382811958
Langues,15.162661033298725,36,81,0.6689330402696407,9.575592904062182
Langues,35.954946966593184,13,73,0.6600813525151971,15.3387067014885
Histoire,14.840160963451279,33,4,0.6851327435643152,14.304319192535045
Histoire,54.488106790988205,6,86,0.8965543201337981,19.27172394712003
Langues,13.092239161164656,38,16,0.8928377863363778,13.756565421922575
Sciences,32.48472151546544,18,25,0.7061411768055451,16.870408143984225
Histoire,24.234703319521525,9,30,0.9041720514037128,16.38104093298414
Langues,17.743470782723954,20,88,0.7236267628630089,10.526661889939062
Littérature,49.19183454211061,9,65,0.713487606682609,20.0
Sciences,45.746619945976285,14,1,0.9627476379505724,20.0
Littérature,17.297394509075655,9,56,0.25191965263871907,12.819064506488147
Histoire,41.63828205531551,35,64,0.49748246397901397,15.775051830398628
Sciences,49.6277583665223,46,34,0.5884008862846009,16.577567557467223
Langues,48.66661101849434,6,8,0.8900059714337513,20.0
Sciences,14.613979883168078,18,28,0.5355040239096532,12.63431583044853
Histoire,44.275635952288816,19,87,0.9807504707082771,16.82653857832998
Sciences,45.80119604417885,2,91,0.8134809983706482,16.033609192313392
Langues,53.10831335210136,7,86,0.6237335855101162,18.342692833947417
Langues,35.402216943249336,27,53,0.6333662615371081,15.78656333972423
Sciences,33.05470001516787,12,54,0.12368023424194496,13.575019304128654
Langues,58.25581624597349,42,52,0.6972648759197336,20.0
Sciences,49.825612786937675,13,90,0.8133430233042359,15.965067723624271
Sciences,37.93654954032445,35,92,0.37153198800882115,12.156153094960036
Sciences,26.530853565563973,9,10,0.6227005998494024,15.567189705871646
Sciences,52.261899800175534,30,58,0.4754174048816624,18.583721185368855
Histoire,32.77181947322023,27,55,0.7678891067985338,15.499476864830395
Langues,14.634259607908032,20,49,0.014817033616334685,9.726700832425195
Sciences,32.74521363567199,8,30,0.050799153849452106,15.042914449479058
Langues,53.59841980750731,18,91,0.4729527058676628,17.37312485594931
Histoire,32.41410734472227,16,10,0.634107213551056,18.174586591702532
Langues,10.717457387017506,7,49,0.07348896101694857,9.548442074101368
Langues,40.57426619582348,34,30,0.7159052931072375,18.202705553670025
Littérature,59.79150017056993,35,44,0.6384417335761796,20.0
Littérature,50.86242920202559,41,11,0.5300357143507265,20.0
Littérature,40.8618973309074,2,39,0.5202899987417371,20.0
Sciences,55.71994433989425,15,59,0.6862124360315204,19.99713984724453
Littérature,50.679084082553096,25,23,0.5285826067047776,20.0
Littérature,34.93196763700202,36,17,0.6678416645506036,18.71194736736551
Littérature,39.561014270369085,6,85,0.39941287190156605,17.37245688962148
Langues,46.56464046015099,28,45,0.6513475779305886,18.639480893059982
Sciences,52.321308198943235,30,28,0.33251010173844575,19.857936018819167
Langues,12.908820118835571,46,11,0.954606020448311,13.919720862777387
Littérature,48.740192858057554,1,40,0.8854834607753373,20.0
Histoire,32.3751719989101,8,46,0.4451435053779629,15.774394236230563
Sciences,43.03992801507704,48,45,0.8724317243316859,16.86286258404251
Littérature,48.2316505479425,3,42,0.7298104713298987,20.0
Histoire,36.97509625137242,43,94,0.8798311270889669,13.702452280040498
Sciences,17.925742529019953,21,6,0.8800981479900222,15.535430005185368
Histoire,30.476341575913303,31,3,0.11696641877432667,16.040188425094488
Sciences,13.843649687618989,4,49,0.3603338340436508,10.572719479376605
Littérature,44.46503455776319,39,19,0.8594526389383469,20.0
Langues,57.68530909815417,16,96,0.37828609305822203,17.845664821615642
Histoire,49.76264061120935,20,49,0.5104681915173994,19.066414070087305
Histoire,29.489321139355937,14,56,0.9904160645349801,15.948949277701338
Littérature,39.21457480027472,34,62,0.9645811121739892,17.518845934617723
Sciences,25.21003379234346,41,9,0.45325223683886184,12.688356950571553
Langues,37.05227997774825,29,87,0.5166220351647038,13.693952659146852
Littérature,25.03634528923201,23,39,0.17622655352574834,15.559593799764695
Littérature,46.9162378399305,5,20,0.755896352624443,20.0
Langues,22.967075399351273,23,88,0.2968457928792251,10.119111441130952
Sciences,58.20101952169472,2,6,0.718419801664485,20.0
Histoire,43.097436608676574,49,63,0.11013825536515676,14.598399014192157
Histoire,13.438892384192188,47,29,0.9421143066733048,12.862166356971716
Langues,10.538888175284658,35,34,0.09362869041073552,9.360697259268127
Histoire,59.85231721025502,2,66,0.9769146329245599,20.0
Langues,21.025278910789677,19,59,0.4564028051907649,12.111643090787227
Langues,25.628137422858877,35,68,0.7194660774848448,12.763143858444224
Langues,20.420700710105418,48,50,0.308030491941811,10.8672788506075
Histoire,56.40508862355912,38,85,0.2767038415220232,17.12775255480092
Littérature,42.6006429834307,19,79,0.5757564800313297,18.20891251073011
Histoire,35.21931617780554,35,7,0.7839833546762626,18.613395271977012
Histoire,37.88254072462852,38,44,0.9294954458228937,17.223519649713477
Langues,25.893642364959366,6,61,0.9945544788106353,15.261646534173355
Histoire,40.70875011819207,6,28,0.5016081640706537,18.904479636914193
Langues,30.980018172746597,5,19,0.4625075745782423,17.261084769771614
Langues,19.96140732120896,49,94,0.7521746601465314,9.565878189938989
Histoire,42.83025498549407,44,50,0.7769255357429431,17.23223101289999
Histoire,28.692028462960604,2,2,0.21607604776535871,17.152455495330653
Langues,49.25331895585808,11,76,0.46931030997872814,17.599179316726634
Sciences,30.76974787547635,20,94,0.7585484929317059,12.703580485375621
Littérature,35.413568752309814,9,55,0.5758936841022498,18.006454272978925
Histoire,49.37332395904482,27,46,0.0021561790886988064,17.68551838250992
Langues,32.39390464598655,44,12,0.7974567579802345,17.407313510074157
Histoire,58.311056756208224,35,29,0.8653811067389933,20.0
Littérature,49.651433359755586,4,28,0.35134490656059847,20.0
Histoire,51.32152026574893,11,56,0.7393121447965431,19.86751586713125
Littérature,57.69602333518638,3,23,0.41653979481819936,20.0
Sciences,29.442531442160373,19,27,0.6021398557005181,15.193123877113848
Histoire,39.00401320910854,32,36,0.18317153405413655,16.15547505388253
Histoire,44.67958703978017,36,87,0.7378116767382453,15.617646315241934
Langues,43.67292417703154,29,89,0.030214717133140168,13.767222341493719
Sciences,57.64683972805098,49,89,0.6252647073289284,16.623155392090236
Langues,24.417431693916726,46,78,0.5411766894494104,10.901635991412514
Histoire,24.5680764312996,39,72,0.04839717527059573,10.006505685015387
Langues,55.90022010195733,6,78,0.3568202642868451,18.885788037254983
Sciences,49.96528208632798,6,15,0.17064960714810518,20.0
Sciences,20.16783120347989,31,28,0.6207371185821178,12.930303757391682
Histoire,38.50234390463838,39,72,0.41269718840166647,14.225008695478344
Sciences,47.28818670481641,46,86,0.40923695422020767,13.182123072811894
Histoire,27.651819522375455,32,72,0.14551958037897839,11.30004017094981
Langues,31.719112561069505,9,25,0.0018651123159715288,15.546614723263794
Histoire,38.76983058304465,49,48,0.9721198050042787,16.83847568451292
Histoire,33.35542787741053,7,86,0.2519444936172067,13.070587266332634
Langues,47.652119503451644,15,90,0.7101132100813365,16.83133407287155
Sciences,10.296937684153487,3,38,0.2145533302241166,10.167896351472677
Sciences,31.731626219552524,22,49,0.17737958749569882,13.9382035321322
Sciences,26.879068766443577,2,74,0.6536553460570922,12.229452322254135
Littérature,40.45820264149134,20,59,0.08762885757889471,19.02850470308807
Histoire,48.797922094067985,27,53,0.8832334146734337,19.222450301972536
Sciences,13.80725811007651,24,8,0.6816382655544786,14.337341450260023
Littérature,17.90298668005962,46,2,0.2952650327341648,15.791994124619654
Histoire,43.25408120710166,8,44,0.5633162743233266,18.573693116454923
Langues,46.92012205077085,26,4,0.6987462044885104,20.0
Histoire,39.41008885394177,26,32,0.4899631288244225,17.551890233146576
Histoire,59.14016744839632,9,21,0.4605472991310957,20.0
Langues,34.97307445532873,13,86,0.1639787099170127,12.94513755821087
Littérature,16.81461675488218,26,17,0.5585250150925218,17.43448855098001
Sciences,44.314553018554,32,77,0.7787766428490375,15.600922240572245
Sciences,40.103776109739904,7,60,0.992790733873843,17.001938087912702
Sciences,39.52107375151317,35,22,0.6404467925600037,18.127043670887115
Langues,37.29268176231991,40,71,0.6656921682100128,14.676879544690538
Langues,56.954785477476946,12,10,0.42522641296974606,20.0
Sciences,16.4578198413279,28,39,0.5209385153683561,11.421078919885844
Histoire,13.659864926248918,45,75,0.6926194798281069,9.342410117445816
Histoire,17.70585846886599,49,49,0.05783628271072305,9.428577405710241
Sciences,22.249510495247524,26,31,0.3386905901666971,12.551279080329316
Sciences,39.64731597182346,36,25,0.2640050302164515,16.298570005924713
Langues,40.62126245483672,48,42,0.9634797140040589,17.587621351062474
Sciences,21.630093872854214,26,51,0.06828705283677272,9.923836726938934
Littérature,34.46127496554688,48,73,0.1378908599869081,14.925441806290243
Histoire,34.10309263838674,43,40,0.42057818189940444,15.041600453254533
Sciences,32.65553831426125,41,66,0.18453555935841937,11.834437948632578
Sciences,50.177264745632904,14,76,0.6125726229002574,17.085247468470374
Langues,33.584653493781595,27,61,0.7473985247972483,15.249309231835394
Littérature,47.9182747978083,29,92,0.3910516851190725,18.3393643967992
Langues,18.324056590239906,3,38,0.8426461248808214,14.73150786131718
Sciences,36.5983672036584,5,34,0.7568766701750336,16.44552243273984
Histoire,51.20523880315978,13,33,0.5647929165863576,20.0
Littérature,18.88582919581288,17,78,0.6598541570033788,14.524667933032598
Littérature,33.24610843488311,45,5,0.7379501085142812,20.0
Littérature,40.45396580178584,16,50,0.6316609367344566,20.0
Langues,19.238728741864364,34,30,0.8025273565082962,14.024492595141917
Sciences,47.83828029557015,36,2,0.5882938156974069,19.418841033569954
Sciences,13.949812389815872,15,63,0.7108126967207433,10.967969495239402
Sciences,57.32077544538594,19,54,0.4074094559442033,20.0
Littérature,33.41107471090679,22,11,0.9434572639205154,20.0
Littérature,26.806154318273826,34,71,0.23445944998104695,13.884022502194322
Histoire,15.840350358132017,29,91,0.5540665673423881,8.999794401319324
Littérature,31.629832153393235,10,42,0.7048278234055975,17.933157459323212
Sciences,42.99020146953859,18,31,0.4454419929405665,17.6719682109909
Sciences,14.724363957119204,9,77,0.5938168399591547,9.428934112906576
Littérature,25.31345475838743,47,6,0.12761382929532106,14.891205064229693
Histoire,51.80087913863556,21,24,0.917126888023299,20.0
Littérature,42.30905127991636,26,97,0.8429565359619913,17.100110817734283
Littérature,20.318650592881195,40,64,0.4573665414634318,12.6282252923565
Langues,18.04548978965446,24,33,0.5686180675871461,13.20305350350606
Littérature,55.22425131004499,6,70,0.3606252930008961,20.0
Sciences,24.35101106704922,7,99,0.880231263383513,10.803766073279746
Sciences,18.975008444931515,34,25,0.25820615048606455,11.940232929904855
Sciences,59.99820092713012,43,26,0.4129754159290694,20.0
Langues,25.459591388895294,35,8,0.2928000120404769,14.983285750063668
Langues,16.237009390468184,39,82,0.016153704418726544,7.364507413772892
Littérature,33.08788148764735,29,89,0.2790096759625579,14.925760707342567
Histoire,31.717255509924104,11,79,0.5407778392274921,13.812071345862828
Littérature,56.340123791516554,42,18,0.07841442473184002,20.0
Langues,16.710247373815236,46,53,0.7801718402691689,11.565182933467483
Littérature,14.556820306465342,37,6,0.5119204571004875,13.220087908856037
Langues,14.648933545334005,29,44,0.46109912804113273,11.237327323259601
Sciences,55.21437329111182,7,34,0.14665859387168334,19.534186175238283
Sciences,32.46845889805385,14,45,0.38572338862087374,14.689071734177531
Langues,17.530326407761283,15,38,0.7912488920198719,13.91304335166086
Littérature,39.691504918964526,6,21,0.19122980759119435,20.0
Histoire,36.8811677825416,49,2,0.9980681441223815,19.290881103022983
Sciences,19.920337387444967,19,13,0.3109686812108504,12.88721484847134
Histoire,40.15190697131855,35,38,0.04873230624280711,15.818484350720261
Langues,27.01156171584728,45,81,0.40598939353277164,10.901108389182456
Langues,21.918538386543496,27,47,0.7335497480290804,13.612580005289313
Histoire,35.52003054495141,4,99,0.8554949230896258,14.59707995954069
Langues,24.58246307581938,34,65,0.29972940301650786,11.42922276367753
Littérature,21.10699608806066,31,36,0.6769218991782688,15.688069097949057
Littérature,53.98612041498371,34,51,0.23641099901733664,20.0
Littérature,17.788128828670864,27,15,0.8848896203491436,18.228989531239357
Langues,24.029498864241624,39,90,0.12269874320371532,9.039398397455988
Histoire,29.306918992491283,42,45,0.7779044643478642,14.80996618495475
Sciences,23.681915515001144,14,47,0.759617821165352,14.64293029336517
Sciences,20.53553212888848,24,6,0.7963044243471459,13.53935942158964
Littérature,48.5573048527294,10,62,0.8817958219510361,20.0
Sciences,26.450807936179075,36,29,0.8099367069743527,14.790635312779955
Langues,15.625647884966922,46,77,0.01733632905571314,7.246300110267051
Histoire,37.04475812283479,46,49,0.39001638292783836,14.942240341389319
Langues,16.274424861820513,18,72,0.25135423898293585,9.6264279011556
Langues,27.875980372046396,11,84,0.379362218626888,12.189341169307076
Histoire,54.09133811361419,26,42,0.7085473807256941,20.0
Sciences,28.458059755310984,49,86,0.568841301948414,10.64198852220662
Histoire,41.6254487144125,7,41,0.7780243398006071,19.005181650734183
Langues,35.73127680043156,47,26,0.5486681390532072,16.438483371377263
Histoire,16.88624228889878,1,65,0.19471661776982452,10.669388605644478
Histoire,42.45347988954176,44,87,0.8810931745790993,15.203335626949265
Littérature,52.80174984669031,48,44,0.954607333181205,20.0
Littérature,14.660623702267202,34,39,0.17024571503002972,12.094328755577205
Langues,47.684004456489575,25,26,0.5828754888507658,19.971308414986016
Langues,44.510564075948906,38,57,0.07506801862350909,15.634693030448908
Sciences,53.33302874985729,32,45,0.35070476905216574,19.48782497068565
Langues,15.20459660667335,48,93,0.23255141321410444,6.8600831801391235
Sciences,25.28476896983394,41,2,0.9187541409719661,15.995498852975254
Sciences,44.714574361318704,38,67,0.5447074282522737,15.026521374523242
Histoire,11.100898944332512,49,55,0.7127664384360677,9.917530567288837
Histoire,46.703783886524434,4,11,0.4372653980316279,20.0
Langues,52.898928950056046,49,55,0.4576084772803126,18.10661738658117
Littérature,32.66520261883788,40,44,0.42576287703507,16.247319658704452
Littérature,31.716495171332607,5,14,0.026699714671862163,20.0
Sciences,23.9234481034683,40,93,0.9751846480308692,10.398613921136958
Langues,10.252593500254367,7,2,0.4697336130764188,13.71067334275575
Sciences,19.315175833317802,37,38,0.34916642669261666,10.925017755921987
Histoire,58.99320592111856,48,51,0.8496298454407974,20.0
Langues,53.364303856067835,26,99,0.4487359628901272,16.468398675482543
Langues,23.32523193744607,12,41,0.040104300906910195,12.631789918353633
Littérature,58.18744285605232,8,99,0.03968638690098247,18.024070689730785
Langues,28.385630797664295,30,27,0.7087991871482866,15.96785353351229
Littérature,24.879268737559002,47,90,0.05767888705334012,10.728436570339985
Langues,17.64038177249426,14,90,0.16360700690087426,8.714314105772607
Histoire,55.080553475533705,4,58,0.6339088514028867,20.0
Sciences,59.34962455334296,40,63,0.03728221524318176,17.189761048349393
Littérature,26.37057020263412,20,7,0.2396565682462567,15.140843327904724
Littérature,45.17152116792134,18,16,0.7791092680162589,20.0
Langues,26.765170490477733,41,59,0.9617734664237838,14.054232620071595
Langues,15.24953696527276,10,47,0.2707225327487994,11.283502313876005
Langues,29.634615344116195,9,95,0.9085325687881062,13.591406748658294
Littérature,37.5784980380588,17,8,0.2727406699494578,19.285459135619302
Littérature,16.150837958824713,13,78,0.559536139044353,12.18560138800454
Littérature,50.91363873948806,25,88,0.6601790804832517,18.385405370563753
Langues,34.86815584466447,10,28,0.9431053859508447,18.732179721715873
Langues,21.71914762522865,41,75,0.5182498652056202,10.625602395737308
Histoire,39.63797892714717,6,59,0.07235354611899292,15.662677656264677
Histoire,49.6629653027201,37,37,0.6654088874041716,19.44812150400888
Histoire,26.38121745259879,47,26,0.5114411460684076,14.311633986925447
Sciences,45.07381622002972,25,79,0.269650875753227,14.419438094419
Langues,31.392958999034366,20,98,0.5642535189018909,12.311584922583988
Langues,58.20255844228004,20,42,0.6258274260276203,20.0
Littérature,48.54700433013658,8,56,0.655554511441563,20.0
Histoire,27.81754512610105,36,32,0.8055044738343019,15.605873189755387
Langues,10.887397953088104,40,84,0.8727336352894217,9.074600783730205
Littérature,42.875994769021396,4,11,0.6153605216413582,20.0
Langues,19.893607929242613,17,56,0.7540257482455263,13.11793508966704
Langues,16.09395878245664,38,26,0.8108874088315927,13.483793733401296
Littérature,56.588822569839685,11,39,0.9678309290692141,20.0
Littérature,59.99744851074584,17,73,0.7165583087114229,20.0
Littérature,23.494441028219256,27,39,0.4604916677163041,16.64703087125819
Sciences,25.0884276082969,39,9,0.6663926578399518,15.674551981306653
Histoire,18.249446961908436,12,93,0.9681611891204888,11.481902171879506
Histoire,32.884238796481185,19,53,0.279805118502344,14.545503582078025
Sciences,53.29218799178738,36,68,0.15205720072031303,15.991698435440266
Littérature,45.075297606243886,25,73,0.4262110740516174,18.473482472756316
Littérature,52.31657790382938,21,93,0.9017053968700873,18.683458946482954
Sciences,21.424082783679026,16,43,0.8314098460722644,13.8945179827269
Langues,46.52280337042401,10,63,0.5451328734631813,18.010481964188937
Sciences,55.92633141980301,7,15,0.4500391580846457,20.0
Sciences,24.07080571071952,3,18,0.13916709721737341,13.145537053871521
Langues,44.53267717955926,24,18,0.3235076346822635,19.164766511945277
Histoire,30.032870584492724,8,11,0.20502440707214753,16.642518381861553
Littérature,24.51133225794613,4,69,0.880017569094012,17.613753366251743
Histoire,58.48117343771747,20,94,0.7032290067622129,18.647667912153103
Littérature,27.431661498414634,46,33,0.6781897855306742,15.930911057856925
Histoire,15.392484063034363,40,57,0.77291278842073,11.266662509128219
Sciences,29.42946048101678,15,78,0.8408838811755878,13.20136122438787
Histoire,32.38391454799912,6,30,0.09531500374729995,15.794617644972503
Sciences,47.610541274961896,20,63,0.7202500396574227,16.742833167158224
Littérature,57.49571334735014,47,84,0.04451675651630416,18.201563422498193
Littérature,50.85284918971063,41,12,0.17401241360270392,20.0
Littérature,56.5470655627553,3,38,0.517853357066889,20.0
Sciences,33.75300649874656,43,4,0.2288533507528262,15.572357595274871
Langues,45.96582841182171,43,67,0.6414443273879439,16.56831994269516
Sciences,25.452479250620122,14,18,0.8130568819802106,16.977823173564563
Langues,13.479355425950898,25,66,0.7751802252470749,10.937606174534377
Sciences,28.273676266299677,33,55,0.3638911876733477,11.881599724576343
Sciences,44.895761416414885,39,2,0.2511711049125738,18.269458712792158
Sciences,23.731105512402188,6,52,0.29443012121310963,12.790235949974672
Sciences,53.07029478207605,44,12,0.10114187771395577,18.939346154825532
Littérature,49.53864249914509,28,30,0.8183468374033377,20.0
Langues,19.702127459230148,43,3,0.6698742835422586,14.936728590789068
Langues,26.541838124540337,1,25,0.1396276946348176,15.088073818642016
Sciences,51.26513087745459,18,56,0.1079280263213922,16.666215516850244
Langues,22.196889475564973,41,29,0.730531746287477,14.180883448423913
Histoire,26.580107283356533,39,30,0.18403043439534972,13.415095147376888
Histoire,27.153346621154338,16,45,0.7237642676307429,15.235750547759535
Littérature,50.05210139128834,27,69,0.3834231034487785,20.0
Littérature,11.851513280250838,15,62,0.19589060688636262,11.361403271582505
Littérature,13.689349156070715,25,31,0.5020197655015107,12.684986179264177
Histoire,38.92257740814688,3,25,0.21630054335977877,18.046504413928545
Littérature,29.855599549803333,26,40,0.33677508330468897,18.06612423543176
Littérature,41.64426598053538,9,94,0.9870841373025824,17.91434192692697
Sciences,23.323063808969145,13,21,0.38831092961782476,13.45720905024577
Littérature,55.47913387407804,28,87,0.05482495609395288,19.181034265457505
Histoire,48.0470943587228,17,24,0.38037138251824465,20.0
Littérature,13.387311027519802,20,12,0.619501751001627,15.861005042463223
Littérature,49.1952738642517,43,53,0.23353480471661425,19.28463939350688
Sciences,58.47911861561256,49,94,0.5440764757252518,16.471902327995792
Sciences,57.12178102937365,41,13,0.3990355731942836,20.0
Littérature,46.774189901272386,10,34,0.3966529194069477,20.0
Littérature,16.17968767406078,13,4,0.42400802728192033,16.84817460270777
Histoire,38.803838292022704,15,72,0.27491533851304906,14.878297944202256
Langues,24.21163644202444,18,59,0.325336933087805,12.42816491732075
Langues,58.51064718181236,49,44,0.018914697165318684,19.091252758671132
Littérature,45.87428626808047,5,13,0.20156424984392296,20.0
Langues,40.538279489370964,24,25,0.26000898581207876,17.687623926214947
Langues,44.754402130236315,40,91,0.6233352761107867,14.946135014530817
Langues,31.898956455484026,34,16,0.979278857887476,17.998939482978553
Histoire,28.63683757188033,6,23,0.3860045779168806,16.237482065112665
Histoire,56.78997897199821,28,98,0.7638087215169452,17.86034060508149
Littérature,26.59635673963433,14,81,0.2596415392871603,14.196418861869411
Histoire,12.071806586635965,22,65,0.5670454951703632,10.076761399445848
Langues,30.04200770772287,45,69,0.7932166287515136,13.448340977646493
Histoire,49.51701763108361,36,7,0.10965706191713553,19.951602672643926
Sciences,42.42341790244597,15,51,0.017484484656475563,16.04707420013201
Langues,58.108538773893734,19,31,0.10911489324691781,20.0
Langues,15.310093380956882,46,84,0.5017781819284525,8.44339215587537
Littérature,55.57731511146917,16,17,0.733538443458826,20.0
Littérature,28.442459695703107,43,82,0.18489205962365374,12.487081120999171
Littérature,33.70012927109562,48,30,0.5558287147772556,18.168112592012086
Histoire,31.42410772446172,17,77,0.3042512862854715,12.930602774331598
Littérature,15.822614054622072,43,75,0.3970555910278668,9.31553928543577
Littérature,22.389822786259437,37,18,0.13185548302592032,15.242505387461506
Littérature,47.1135784614896,29,55,0.8364395283959906,20.0
Histoire,11.15037709228476,1,99,0.6213927340463694,8.876366814151162
Sciences,16.69438871931373,43,41,0.8626782864133867,11.66822273031872
Langues,11.260508439567504,31,89,0.15723158423666284,6.61736138680362
Littérature,52.86940286617746,41,28,0.8487233584685488,20.0
Sciences,40.866241389088984,41,35,0.20139220508182298,15.092751176878423
Langues,18.49643310592794,46,59,0.22366303325893055,9.692587579987485
Littérature,48.43861115268768,11,15,0.6309537999343682,20.0
Littérature,58.34002987257769,25,9,0.0409511402384104,20.0
Histoire,56.728018726500906,19,53,0.2258404779008134,19.772850185801488
Sciences,56.07737739060826,34,45,0.09316071187423758,18.099564979216467
